"","101135-S45-L001","101184-S125-L001","101325-S44-L001","101432-S8-L001","101450-S103-L001","101534-S9-L001","101583-S11-L001","102681-S51-L001","103225-S78-L001","103584-S31-L001","104269-S50-L001","104850-S87-L001","125242-S105-L001","125359-S59-L001","125692-S92-L001","126221-S4-L001","126456-S38-L001","126681-S117-L001","126724-S100-L001","126858-S54-L001","127255-S102-L001","127515-S70-L001","128216-S76-L001","128348-S18-L001","128489-S8-L001","129227-S28-L001","129441-S5-L001","129700-S54-L001","207340-S80-L001","207639-S128-L001","208194-S70-L001","208823-S20-L001","208901-S66-L001","209012-S40-L001","209218-S21-L001","210494-S104-L001","224863-S113-L001","224928-S31-L001","224989-S61-L001","225117-S14-L001","230864-S97-L001"
"ASV_1",0.232250635324015,0,0.055833401656145,0,0.277470971396205,0,0.146926750457364,0.0291187260296815,0.00049022491519109,0,0.075909661229611,0.00111535326669813,0.214015151515152,0,0,0.218253294869619,0.000534816557920633,0.0436530161763252,0.000688389169343736,0.126209656989411,0.0523610664953421,0.0267749457264614,0.122907206730367,0,0.0143617194895062,0,0.000420316786125122,0.238811541189205,0.00135020650217092,0,0,0,0.000821439572851422,0.0154866882182692,0.036959025835116,0.00736937007565364,0,0.000621487945723386,0.119787607170694,0.000683250246729256,0.000449415759512634
"ASV_2",0.0812420584498094,0.119348106926364,0.0906780355825203,0.142756370690415,0.0815632965165675,0.187401940844907,0.0799971488987622,0.0680965482741371,0.119203090377865,0.118814169861114,0.127711059329629,0.106473338767106,0.19230413895048,0.0417786779598601,0.108676083644925,0.113043724192545,0.0960797946304418,0.137152834975126,0.0715924736117485,0.0460556315549476,0.146540898869842,0.0965398944011149,0.107139872412736,0.113698899371069,0.0739954956425237,0.0671766285551532,0.105167684275728,0.0752491508342354,0.162157153446998,0.0824847723996838,0.102372139973082,0.0795432300163132,0.12668138412568,0.0902967012507828,0.120322527562942,0.0901963858727608,0.128857786739414,0.0724292410078463,0.0948217069368667,0.0900625047447934,0.113402576650355
"ASV_3",0.173522871664549,0.0707542482361125,0.0587029597441994,0.101534256238427,0.0911214953271028,0.109680980882097,0.0818978830573309,0.0370601967650492,0.0321391454399278,0.0417043900371776,0.0598972336738962,0.0594140105529578,0.0653409090909091,0.0819002025409685,0.251280986013018,0.0610328638497653,0.204888223339395,0.10130794320166,0.130702156952731,0.10609515123879,0.099348772011798,0.113987832006647,0.0711201493160988,0.048250786163522,0.0817965205470509,0.088985636977662,0.190934430581364,0.0870068306520847,0.129222704648946,0.21183800623053,0.0130663974876626,0.0739967373572594,0.0489526645446144,0.156339386964101,0.0507816356754978,0.0373564344792442,0.067963468153244,0.0756920527228941,0.064521628994544,0.0348710681478857,0.102966144012783
"ASV_4",0.176977445997459,0.11481003014343,0.214123691618157,0.185257032007759,0.177888700084962,0.117729095240862,0.196535911996008,0.121769217942304,0.188716983351962,0.184366151060428,0.202784250463046,0.105744069323495,0.1332455654102,0.103314306757503,0.182488574989614,0.112393234911477,0.132046208150604,0.0716568378743452,0.124437815511703,0.114759081927345,0.0555149957655579,0.200905899064619,0.159261219600524,0.197474449685535,0.10222933054803,0.194958701224722,0.174741173347491,0.0951438916053899,0.13891242189982,0.198168038313107,0.030114401076716,0.175269168026101,0.152531060683848,0.114838447607603,0.103965772585157,0.140488416761397,0.0950065235440636,0.169277779216407,0.175467653936087,0.123693600222689,0.114725856386697
"ASV_6",0.00786213468869123,0.0514094537745536,0.0286135935066,0.0629574111630368,0.0187623902577174,0.0215875414027544,0.0124022903846611,0.102092713023178,0.183599035237367,0.208175216227149,0.0451992591264862,0.0800480459868732,0.0574417960088692,0.163266433437673,0.0462886026866085,0.0817353922733186,0.0653813242057974,0.12947649326261,0.176296466268931,0.0355170491969398,0.0173174079373887,0.0629037013213262,0.0231495668161685,0.0550314465408805,0.160231093122695,0.103999674492412,0.0721175117246261,0.0189989175469374,0.0450333580429948,0.0694657553354722,0.0788750560789592,0.0538009787928222,0.0753414108224664,0.081614000643163,0.0449563929570512,0.0738112970875309,0.161807614755071,0.0378589740269829,0.0793793842556508,0.0572917984664828,0.0417207630080895
"ASV_8",0.0131829733163914,0.00414058100632681,0.0619551255773278,0.0171942509478882,0.0101246105919003,0.0478528676855134,0.0211219083370952,0.0309738202434551,0.0421005157166108,0.0234815942056903,0.0463344685427496,0.0168160954056025,0.00919253510716925,0.0104216534708157,0.0207381249134469,0.0229933819786187,0.0366349342175634,0.0167034560010543,0.0183799908214777,0,0.0344303945331893,0.0513253464125861,0.0213945455051954,0.0721796383647799,0.0348271697620524,0.0348496561826098,0.0511680382267056,0.013474674330932,0.0244360902255639,0.0172037011205654,0.0798003589053387,0.0263621533442088,0.0307783139952767,0.048321852309463,0.0140200756952444,0.0334365567794285,0.0271142213260586,0.0217779734313903,0.0303731488698363,0.0185489789204646,0.00993708179366823
"ASV_10",0.0349428208386277,0.0767829341813243,0.0707824328386762,0.0466449166740146,0.0347281223449448,0.110320181300482,0.0351160635795576,0.115474403868601,0.0250210796713532,0.0544179685242617,0.0467527035908466,0.160782463214791,0.0473484848484848,0.0435463082305284,0.073743248857499,0.0243226426834097,0.0588565621991657,0.0457285935492373,0.0410050481872418,0.00704261032578406,0.0296118914814707,0.107796628340168,0.0377190294453576,0.0876080974842767,0.0498416946828998,0.0587744639296904,0.0919387664808424,0.0580418797357321,0.0287249814677539,0.0957827684009857,0,0.102446982055465,0.0624037375500565,0.0769426061642097,0.0392298831660359,0.119203480851397,0.0546317162851382,0.119973068855685,0.0468141075604053,0.0823443075132222,0.233646259862179
"ASV_12",0.00393106734434562,0.122494948491172,0.0234757180727501,0.114319724891985,0.0249929198527329,0.0171712476029984,0.0441445508327592,0.0612181090545273,0,0.0692504767591933,0.0143096134313198,0.0416541546909185,0.00198632668144863,0.00885656416866139,0.0259313114527074,0.0570450817353923,0.0513691303882768,0.0523177280664185,0.0590637907296925,0,0.00554857927167596,0.054246736887245,0.0486670195280943,0.0189661949685535,0.0250677285635016,0.0625381454205151,0.00415892398902752,0.0179164644843418,0.067510325108546,0.00232482447575208,0.0170760430686406,0.0507667210440457,0.0157613718040867,0.0445644263155222,0.0309034062859964,0.0212065383560033,0.13507294508362,0.0362016728383872,0.0436720576773188,0.0682238024141509,0.0600219714371317
"ASV_14",0.00631353240152478,0.00215310212328994,0.0445738023011123,0,0.028249787595582,0.0097623336626184,0.0141129511273729,0.0455227613806903,0.0366688236562935,0.023173386242367,0.00236004062854753,0,0.00438839615668884,0.00486098324433806,0.00931311452707381,0.00828666779795237,0.00318215851962777,0.00240503409877113,0.0102799449288665,0.00192531793078989,0.000759279268755658,0.0206105438074562,0.00598935844220966,0.00697720125786164,0.000946567875444724,0.00970419497904545,0.0326077338288647,0.0198947407711545,0.0101133114476332,0.000976426279815874,0.0144122925078511,0.0254486133768352,0.0346544819796694,0.0218336915864123,0.0568701662004278,0,0.0160123354287748,0.00209752181681643,0.0101081449727202,0.142445023660703,0.0293867971636872
"ASV_15",0.00555908513341804,0.000695617609062904,0.0251701238009347,0.00987567233929989,0.00548711413197395,0.0262362717182869,0.00677136543990116,0.0190095047523762,0.0153146263505696,0.0158534471134398,0.00678138256557328,0.00875123332332375,0.0147819660014782,0.00364573743325354,0.0100055393989752,0.0159228463148368,0.00722002353192855,0.0144960959377986,0.00580541532813217,0.0012666565334144,0.0259907134304821,0.0354319101605425,0.0128980137615957,0.00574882075471698,0.0145902013904756,0.0111486349025512,0.0303955402176799,0.0229554701205629,0.0357407603515832,0.0126005486585763,0.0179452669358457,0.012137030995106,0.0144778724715063,0.0116615608550683,0.023268059897976,0.0489592724706989,0.0107697781995018,0.0176088251288293,0.00986457521434139,0.0197636460257611,0.0057675022470788
